# of Delays.Carrier,# of Delays.Late Aircraft,# of Delays.National Aviation System,# of Delays.Security,# of Delays.Weather,Cancelled,Carriers.Total,Code,Delayed,Diverted,Flights.Total,PerCentage Delay,# Delay Per Carrier,Minutes Per Delayed Flight,Label,Minutes Delayed.Carrier,Minutes Delayed.Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed.Security,Minutes Delayed.Total,Minutes Delayed.Weather,Month,Month Name,Name,On Time,Year,Primary key,Airport speed,Domestic passengers
1009,1275,3217,17,328,216,11,ATL,5843,27,30060,0.194377911,531.1818182,45.99760397,2003/06,61606,68335,118831,518,268764,19474,6,June,"Atlanta, GA: Hartsfield-Jackson Atlanta International",23974,2003,ATL62003,M,3171845
374,495,685,3,66,138,14,BOS,1623,3,9639,0.16837846199999998,115.9285714,47.54590265,2003/06,20319,28189,24400,99,77167,4160,6,June,"Boston, MA: Logan International",7875,2003,BOS62003,M,841934
296,477,389,8,78,29,11,BWI,1245,15,8287,0.150235308,113.1818182,51.79116466,2003/06,13635,26810,17556,278,64480,6201,6,June,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6998,2003,BWI62003,M,871736
300,472,735,2,54,73,11,CLT,1562,14,8670,0.180161476,142.0,42.16709347,2003/06,14763,23379,23804,127,65865,3792,6,June,"Charlotte, NC: Charlotte Douglas International",7021,2003,CLT62003,M,957352
283,268,487,4,58,74,13,DCA,1100,18,6513,0.168892983,84.61538462,47.95181818,2003/06,13775,13712,20999,120,52747,4141,6,June,"Washington, DC: Ronald Reagan Washington National",5321,2003,DCA62003,M,595820
516,323,664,11,98,34,13,DEN,1611,22,11691,0.137798306,123.9230769,46.82060832,2003/06,26634,18969,23538,706,75428,5581,6,June,"Denver, CO: Denver International",10024,2003,DEN62003,F,1575468
986,1390,2147,19,258,394,13,DFW,4798,133,27628,0.173664398,369.0769231,54.92309296,2003/06,70918,80714,90574,683,263521,20632,6,June,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",22303,2003,DFW62003,M,2066008
376,371,570,6,71,123,11,DTW,1395,9,11754,0.118683002,126.8181818,43.48888889,2003/06,21802,18715,16482,139,60667,3529,6,June,"Detroit, MI: Detroit Metro Wayne County",10227,2003,DTW62003,F,1252163
322,519,1948,10,121,102,13,EWR,2921,42,12506,0.233567887,224.6923077,51.5279014,2003/06,20190,30905,91048,490,150513,7880,6,June,"Newark, NJ: Newark Liberty International",9441,2003,EWR62003,M,960538
247,256,427,5,34,13,11,FLL,967,10,4662,0.207421707,87.90909091,45.81489142,2003/06,12547,14600,14935,141,44303,2080,6,June,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3672,2003,FLL62003,F,616468
320,295,573,3,66,101,13,IAD,1256,35,8419,0.14918636400000002,96.61538462,52.17277070000001,2003/06,16754,18074,25807,182,65529,4712,6,June,"Washington, DC: Washington Dulles International",7027,2003,IAD62003,F,552995
329,730,1405,15,123,91,12,IAH,2601,173,15551,0.167256125,216.75,51.58861976,2003/06,21782,43428,56414,577,134182,11981,6,June,"Houston, TX: George Bush Intercontinental/Houston",12686,2003,IAH62003,M,1223982
376,226,394,21,28,24,11,JFK,1046,13,5778,0.181031499,95.09090909,48.12141491,2003/06,22029,11593,14103,659,50335,1951,6,June,"New York, NY: John F. Kennedy International",4695,2003,JFK62003,M,673732
511,678,624,17,64,39,12,LAS,1893,6,11759,0.160983077,157.75,42.01426307,2003/06,24293,31043,19561,808,79533,3828,6,June,"Las Vegas, NV: McCarran International",9821,2003,LAS62003,M,1396773
830,765,842,37,97,101,12,LAX,2571,10,18462,0.139259019,214.25,44.50952937,2003/06,40089,39655,26162,2559,114434,5969,6,June,"Los Angeles, CA: Los Angeles International",15780,2003,LAX62003,F,1786573
