Year,Month,DOMESTIC,Code
2002,10,2996724,ATL
2002,11,2826112,ATL
2002,12,3085834,ATL
2003,1,2686976,ATL
2003,2,2554385,ATL
2003,3,3044047,ATL
2003,4,2836458,ATL
2003,5,2992648,ATL
2003,6,3171845,ATL
2003,7,3326522,ATL
2003,8,3220210,ATL
2003,9,2712924,ATL
2003,10,3155206,ATL
2003,11,2933540,ATL
2003,12,3076441,ATL
2004,1,2747324,ATL
2004,2,2776004,ATL
2004,3,3286980,ATL
2004,4,3200608,ATL
2004,5,3247361,ATL
2004,6,3382186,ATL
2004,7,3498461,ATL
2004,8,3266995,ATL
2004,9,2651899,ATL
2004,10,3225533,ATL
2004,11,3105930,ATL
2004,12,3203559,ATL
2005,1,2878422,ATL
2005,2,2872057,ATL
2005,3,3557423,ATL
2005,4,3360270,ATL
2005,5,3497075,ATL
2005,6,3521952,ATL
2005,7,3604111,ATL
2005,8,3375819,ATL
2005,9,2868340,ATL
2005,10,3052116,ATL
2005,11,2991120,ATL
2005,12,3060904,ATL
2006,1,2825100,ATL
2006,2,2695120,ATL
2006,3,3346864,ATL
2006,4,3092980,ATL
2006,5,3155950,ATL
2006,6,3319604,ATL
2006,7,3440481,ATL
2006,8,3179002,ATL
2006,9,2748243,ATL
2006,10,3166004,ATL
2006,11,3100776,ATL
2006,12,3027458,ATL
2007,1,2744136,ATL
2007,2,2642977,ATL
2007,3,3347887,ATL
2007,4,3222845,ATL
2007,5,3318869,ATL
2007,6,3540330,ATL
2007,7,3654986,ATL
2007,8,3556705,ATL
2007,9,2982422,ATL
2007,10,3388161,ATL
2007,11,3176190,ATL
2007,12,3065447,ATL
2008,1,2823518,ATL
2008,2,2905143,ATL
2008,3,3417624,ATL
2008,4,3200599,ATL
2008,5,3310316,ATL
2008,6,3477802,ATL
2008,7,3652009,ATL
2008,8,3488127,ATL
2008,9,3047701,ATL
2008,10,3416195,ATL
2008,11,3108720,ATL
2008,12,3173033,ATL
2009,1,2849037,ATL
2009,2,2658524,ATL
2009,3,3136635,ATL
2009,4,3129794,ATL
2009,5,3256465,ATL
2009,6,3402029,ATL
2009,7,3628640,ATL
2009,8,3435608,ATL
2009,9,3019930,ATL
2009,10,3305251,ATL
2009,11,3023808,ATL
2009,12,2958864,ATL
2010,1,2726070,ATL
2010,2,2544751,ATL
2010,3,3293758,ATL
2010,4,3262533,ATL
2010,5,3369274,ATL
2010,6,3465091,ATL
2010,7,3574034,ATL
2010,8,3415000,ATL
2010,9,3140173,ATL
2010,10,3433171,ATL
2010,11,3179016,ATL
2010,12,3072786,ATL
2011,1,2678294,ATL
2011,2,2666018,ATL
2011,3,3376371,ATL
2011,4,3278439,ATL
2011,5,3604729,ATL
2011,6,3583364,ATL
2011,7,3741126,ATL
2011,8,3548785,ATL
2011,9,3233004,ATL
2011,10,3511352,ATL
2011,11,3272304,ATL
2011,12,3080001,ATL
2012,1,2886710,ATL
2012,2,2888471,ATL
2012,3,3550261,ATL
2012,4,3446162,ATL
2012,5,3642807,ATL
2012,6,3729923,ATL
2012,7,3769354,ATL
2012,8,3644910,ATL
2012,9,3251758,ATL
2012,10,3577528,ATL
2012,11,3364273,ATL
2012,12,3185267,ATL
2013,1,2987573,ATL
2013,2,2849543,ATL
2013,3,3523830,ATL
2013,4,3389486,ATL
2013,5,3591908,ATL
2013,6,3569294,ATL
2013,7,3626195,ATL
2013,8,3547523,ATL
2013,9,3206279,ATL
2013,10,3516660,ATL
2013,11,3168551,ATL
2013,12,3351742,ATL
2014,1,2883013,ATL
2014,2,2741403,ATL
2014,3,3637570,ATL
2014,4,3519927,ATL
2014,5,3732980,ATL
2014,6,3638862,ATL
2014,7,3776858,ATL
2014,8,3651912,ATL
2014,9,3355828,ATL
2014,10,3697108,ATL
2014,11,3337130,ATL
2014,12,3358901,ATL
2015,1,3089174,ATL
2015,2,2937697,ATL
2015,3,3742543,ATL
2015,4,3647022,ATL
2015,5,3888355,ATL
2015,6,3859114,ATL
2015,7,3996062,ATL
2015,8,3875938,ATL
2015,9,3633240,ATL
2015,10,3959331,ATL
2015,11,3704202,ATL
2015,12,3576571,ATL
2016,1,3299390,ATL
2016,2,3223435,ATL
2016,3,3771750,ATL
2016,4,3760315,ATL
2016,5,4099226,ATL
2016,6,3973767,ATL
2016,7,3963425,ATL
2016,8,3747620,ATL
2016,9,3696180,ATL
2016,10,3966520,ATL
2016,11,3786460,ATL
2016,12,3616391,ATL
2017,1,3278978,ATL
2017,2,3175699,ATL
2017,3,3893620,ATL
2017,4,3544465,ATL
2017,5,4026847,ATL
2017,6,3979928,ATL
2017,7,3968085,ATL
2017,8,3946228,ATL
2017,9,3373219,ATL
2017,10,3978568,ATL
2017,11,3753959,ATL
2017,12,3431442,ATL
2018,1,3232202,ATL
2018,2,3204716,ATL
2018,3,3965168,ATL
2018,4,3844151,ATL
2018,5,4081926,ATL
2018,6,4017606,ATL
2018,7,4118431,ATL
2018,8,4105483,ATL
2002,10,861825,BOS
2002,11,723987,BOS
2002,12,773015,BOS
2003,1,619641,BOS
2003,2,641163,BOS
2003,3,752282,BOS
2003,4,769225,BOS
2003,5,778831,BOS
2003,6,841934,BOS
2003,7,878637,BOS
2003,8,902448,BOS
2003,9,724179,BOS
2003,10,896617,BOS
2003,11,771457,BOS
2003,12,783575,BOS
2004,1,664078,BOS
2004,2,776275,BOS
2004,3,877732,BOS
2004,4,952022,BOS
2004,5,893518,BOS
2004,6,987918,BOS
